adm2_name,group,period,H38_bar,H46_bar,S_share,RWI_bar,Haz,Mag,PovScore,HVI,Rank,heat_exposed,screening_class,priority_hazard_gated,rank_hazard_gated,priority_equal_weight_gated,rank_equal_weight_gated
Siakago,u5,2025,6.840725632812159,0.0,0.0,-0.358078125,1.5848816956386358,9.812116523656488,79.25415720322748,15.703443470182318,135,True,Severe-heat screening priority,15.703443470182318,103,30.21705180750753,88
Laikipia North,u5,2025,0.150330818844867,0.0,0.0,-0.4112627737226277,0.0348291359522998,11.346595883257075,81.5578142650531,15.656806929508852,137,True,Severe-heat screening priority,15.656806929508852,104,30.97974642808749,81
Taveta,u5,2025,7.714117632348085,0.0,0.0,-0.3175238095238095,1.7872320115966631,9.734239781875068,77.4975744772334,15.527885712525697,139,True,Severe-heat screening priority,15.527885712525697,105,29.673015423568376,93
Kabuchai,u5,2025,0.5953819567297436,0.0,0.0,0.0453421052631577,0.1379400396660223,20.376049355571983,61.78028298106592,15.455724275647794,140,True,Severe-heat screening priority,15.455724275647794,106,27.43142412543464,113
Ainamoi,u5,2025,7.250117247187247,0.0,0.0,-0.0011249999999999,1.679730884277166,16.526143962627806,63.792974194659,15.450641304339634,142,True,Severe-heat screening priority,15.450641304339634,107,27.332949680521324,114
Marakwet East,u5,2025,0.6489809467363142,0.0,0.0,-0.3354044943820224,0.1503580290323361,11.992920433291731,78.27206423947142,15.421382681876016,144,True,Severe-heat screening priority,15.421382681876016,108,30.13844756726516,89
Kibwezi West,u5,2025,0.0163065122720246,0.0,0.0,-0.389945,0.0037779461137391,10.533289250288318,80.63444932501847,15.25723204420182,148,True,Severe-heat screening priority,15.25723204420182,109,30.390505507140176,87
Sigowet/Soin,u5,2025,10.038048210039944,0.0,0.0,-0.102675,2.325647851116986,12.43378389532904,68.19154371137112,15.237973043418725,149,True,Severe-heat screening priority,15.237973043418725,110,27.65032515260572,108
Karachuonyo,u5,2025,0.7628142865923618,0.0,0.0,-0.0039999999999999,0.176731309642495,18.251486326311987,63.91750287373875,15.16027354925778,150,True,Severe-heat screening priority,15.16027354925778,111,27.448573503231074,112
Nyakach,u5,2025,9.608024930264952,0.0,0.0,0.0149655172413793,2.2260186507373025,14.800992354079638,63.09602433108381,15.12901161379198,151,True,Severe-heat screening priority,15.12901161379198,112,26.70767844530025,118
Kitui Central,u5,2025,0.3591431336898404,0.0,0.0,-0.3145593220338983,0.0832074562337526,11.488754222226945,77.36916970809703,15.0977658238112,156,True,Severe-heat screening priority,15.0977658238112,113,29.64704379551924,94
Teso North,u5,2025,2.964292503282548,0.0,0.0,-0.0516046511627907,0.6867769855345032,15.739696595476843,65.9794661180358,14.9965562383924,158,True,Severe-heat screening priority,14.9965562383924,114,27.46864656634905,110
Kipkelion East,u5,2025,0.4750319476006757,0.0,0.0,-0.1397378640776699,0.1100569557978873,14.70741540231734,69.79689658319863,14.942290433863835,160,True,Severe-heat screening priority,14.942290433863835,115,28.20478964710462,105
Muhoroni,u5,2025,3.613786626435469,0.0,0.0,-0.0767115384615384,0.837253908958015,14.45879143543518,67.0669539479895,14.858170172755887,161,True,Severe-heat screening priority,14.858170172755887,116,27.4543330974609,111
